id,path_d
thaibinh,M8706.46 6437.96l-35.4 14.55 -35.4 54.56 0 18.19 35.4 0 35.4 -36.37 0 -50.93zm-640.76 -407.36l21.24 18.17 17.71 14.56 31.85 54.55 35.41 69.11 35.4 72.75 84.96 0 17.7 14.54 35.4 21.83 67.26 18.19 70.8 32.73 31.87 0 35.39 18.19 53.11 18.18 0 -36.37 31.86 -32.73 0 -40.02 17.7 -32.74 17.7 -54.55 0 -50.92 -17.7 -18.19 0 -36.38 67.26 -160.04 0 -32.73 -49.56 -18.17 -35.4 0 -67.27 36.36 -53.09 0 -53.1 -18.19 -49.57 -54.55 0 -36.38 0 -32.74 0 -18.18 -88.5 0 -84.96 18.18 -14.17 0 -35.39 18.19 -223.03 50.93 14.15 36.38 53.12 36.36 17.68 32.74 14.17 54.56 0 36.38z
thuathienhue,M9640.21 12075.72l63.73 18.18 30.19 18.19 20.11 0 30.19 32.74 50.32 18.19 0 -18.19 -33.54 -32.74 -110.68 -90.93 -20.13 0 -30.19 36.38 0 18.18zm13.41 952.97l36.91 0 13.41 18.18 67.08 -18.18 63.73 -32.74 80.49 32.74 16.78 18.18 33.54 0 33.54 0 80.49 -69.1 30.19 0 50.32 -18.2 33.54 -69.11 16.76 -36.36 13.43 -18.19 0 -18.18 36.89 -54.57 80.5 0 97.26 18.19 130.82 0 63.72 21.83 30.19 -21.83 20.13 -18.19 0 -32.74 -67.08 -18.17 -30.19 18.17 -33.54 0 -33.55 0 -33.53 -54.55 -30.19 -105.49 13.41 -18.17 -30.19 -14.56 -33.54 14.56 -50.3 18.17 -46.97 -32.73 -16.76 0 -16.77 0 0 14.56 16.77 36.37 -16.77 18.18 -50.31 0 -46.96 -18.18 -80.5 -36.37 0 -14.56 33.54 0 0 -18.17 0 -36.38 -20.13 -18.19 -110.68 -141.85 -33.54 -36.38 -50.32 0 -16.76 -14.55 -13.42 -40 -50.31 -14.55 -50.32 -18.18 -30.19 -14.56 -33.52 -40.01 -50.32 -14.55 -46.95 -18.19 -16.78 18.19 -46.95 14.55 -33.55 18.19 -50.31 0 -16.77 -18.19 -50.31 0 0 -14.55 -93.92 14.55 -50.3 72.75 0 14.55 0 72.74 16.76 69.11 0 21.82 -50.31 32.74 -30.19 18.18 -16.77 18.19 -16.76 54.57 0 18.17 16.76 50.93 16.77 36.37 0 50.92 13.42 72.75 33.54 14.54 46.96 40.02 33.54 0 50.31 50.92 16.78 36.36 13.41 50.93 50.31 54.56 33.55 18.19 33.53 -18.19 63.73 -18.18 33.55 -36.38 16.76 18.18 13.41 69.12zm590.33 -563.78l0 -18.19 -33.55 -18.18 0 -18.2 -16.76 0 -16.77 -36.36 -67.09 -32.74 -80.49 -123.66 -30.19 -18.18 -50.3 -14.56 -50.32 0 -13.42 0 46.96 47.29 67.08 54.55 46.96 87.3 33.53 0 50.32 54.56 46.96 54.56 16.77 14.55 16.76 0 50.32 -14.55 -16.77 -18.19z
danang,M10160.1 12959.57l33.54 0 16.76 36.38 33.55 18.19 30.19 14.55 50.31 0 30.19 -14.55 20.12 14.55 0 40.01 30.18 14.54 -30.18 32.74 -33.54 21.83 0 18.18 13.42 32.74 33.54 18.18 67.08 0 97.27 -18.18 33.54 0 63.73 -18.19 63.73 0 33.53 0 67.09 -14.55 -20.13 -40.01 -30.19 -14.55 -16.77 -32.73 0 -54.56 0 -54.57 16.77 0 30.19 0 67.08 0 33.54 -32.73 0 -21.81 -16.76 -14.57 -16.78 -18.17 -46.95 -18.19 -33.54 18.19 -16.78 -18.19 -16.77 -18.19 -33.53 0 -30.19 18.19 16.77 50.93 -16.77 36.36 -33.54 0 -33.54 -14.55 -16.78 -21.81 0 -14.57 0 -36.36 33.54 -50.92 -63.72 -21.83 -130.82 0 -97.26 -18.19 -80.5 0 -36.89 54.57 0 18.18 -13.43 18.19 -16.76 36.36 -33.54 69.11zm898.89 156.41l-20.12 21.83 33.53 69.1 33.55 18.18 16.77 -18.18 16.78 -18.18 0 -32.74 -33.55 -18.18 -46.96 -21.83z
quangnam,M9851.51 14145.33l33.55 32.73 80.5 54.56 80.5 54.56 16.77 0 16.76 0 97.28 69.11 97.27 36.37 80.5 50.92 0 36.38 -13.42 18.18 -16.77 32.73 0 40.01 30.19 50.92 33.54 0 50.3 -18.18 16.78 0 13.41 -18.19 147.59 -32.73 33.54 18.18 33.54 0 30.19 0 16.77 -54.55 0 -123.67 -16.77 -18.18 16.77 -36.38 16.76 -50.92 16.77 -36.38 97.27 -72.74 114.04 -32.73 33.55 0 63.71 0 130.82 -18.19 97.26 -36.38 97.28 -50.91 16.77 0 -30.19 -36.37 -16.77 -18.19 0 -54.57 -16.77 -18.18 -16.77 -14.55 -16.77 32.73 -33.53 0 -30.19 -32.73 -16.78 0 -16.77 -36.37 0 -72.75 -30.19 -50.92 -50.3 -50.92 -16.78 -54.56 -50.32 -54.56 -33.53 -69.1 -80.5 -105.49 16.77 -36.37 -30.19 -54.56 -36.89 0 -30.18 36.38 -33.54 32.73 -16.77 -14.55 0 -18.18 16.77 -36.38 -16.77 -18.18 0 -32.74 16.77 0 33.54 18.19 30.18 -18.19 16.77 -18.19 -30.19 -36.37 -80.49 -50.92 -67.09 14.55 -33.53 0 -63.73 0 -63.73 18.19 -33.54 0 -97.27 18.18 -67.08 0 -33.54 -18.18 -13.42 -32.74 0 -18.18 33.54 -21.83 30.18 -32.74 -30.18 -14.54 0 -40.01 -20.12 -14.55 -30.19 14.55 -50.31 0 -30.19 -14.55 -33.55 -18.19 -16.76 -36.38 -33.54 0 -50.32 18.2 -30.19 0 -80.49 69.1 -33.54 0 -33.54 0 -16.78 -18.18 -80.49 -32.74 -63.73 32.74 -67.08 18.18 -13.41 -18.18 -36.91 0 -13.41 40.01 -16.76 101.84 -16.78 18.19 -46.95 54.55 -83.86 18.19 -114.04 18.19 -46.96 0 -33.54 50.92 0 36.37 80.5 156.41 33.55 21.81 97.27 210.96 211.3 141.86 50.3 14.55 46.97 72.75 16.77 0 33.53 123.66 0 36.38zm1402.03 -301.89l0 18.18 16.77 18.19 30.17 0 16.78 0 0 -18.19 0 -18.18 -16.78 -18.2 -30.17 0 0 18.2 -16.77 0z
daklak,"M9967.67 17890.75c155.54,88.67 152.12,409.87 252.09,460.12 86.84,43.67 258.53,432.96 322.89,499.54 0.53,0.54 6.27,17.34 13.68,39.89l12.97 -5.62 46.96 0 83.85 0 30.19 -36.36 16.76 -36.38 0 -36.38 33.55 -123.66 33.54 -32.74 0 -36.38 46.95 -36.36 46.96 -18.18 67.08 0 33.55 0 30.18 54.54 50.31 105.5 33.54 18.18 16.78 14.55 80.49 0 80.49 -50.93 16.78 0 0 -192.77 16.77 -36.37 63.73 -36.38 36.89 0 13.42 0 80.5 18.18 16.77 0 33.54 -36.36 0 -54.56 0 -32.74 0 -18.18 16.77 -50.93 63.73 -18.18 63.73 -21.82 20.12 -14.55 16.77 -54.56 -16.77 -18.2 0 -14.54 0 -36.36 46.96 -72.76 16.78 -32.73 -33.55 -54.55 -50.31 -14.57 -63.73 -72.74 -80.5 -36.37 -164.35 18.19 -46.96 -36.38 -16.77 -14.55 -33.54 -36.36 0 -36.37 -33.53 -36.38 -30.19 18.18 -16.78 0 -16.77 0 -30.19 -32.73 -50.3 -54.57 -33.55 -18.17 -67.08 -90.94 0 -14.55 -30.18 -18.18 0 -54.56 0 -87.3 -16.78 -36.36 -46.96 -18.19 -50.31 -14.55 -16.76 -18.19 -50.31 -54.56 0 -36.37 -13.42 0 -33.54 -54.56 -33.55 -32.74 -97.26 0 -33.54 0 -97.28 -14.55 -33.53 0 -46.97 0 -83.84 -21.82 -194.54 0 -50.32 21.82 -46.95 -21.82 -63.73 21.82 -164.35 0 -16.77 0 -33.55 156.41 -93.9 320.08 -50.32 141.85 13.41 87.3 16.78 87.29 35.34 112.41c93.99,-20.45 209.94,-37.52 261.93,-7.89z"
daknong,"M10219.76 18350.87c-99.97,-50.25 -96.55,-371.45 -252.09,-460.12 -51.99,-29.63 -167.94,-12.56 -261.93,7.89l14.98 47.63 0 18.18 33.52 87.31 16.78 138.21 0 127.3 -36.89 105.47 -63.73 141.86 -63.73 87.3 -67.09 69.11 -13.41 0 -80.5 -69.11 -50.3 -18.19 -33.55 0 -97.26 18.19 -50.32 18.18 16.77 50.93 16.77 141.85 0 54.56 0 54.56 -16.77 54.56 16.77 47.29 16.78 40 50.3 32.74 46.96 54.56 63.72 36.37 33.55 54.56 33.55 47.28 0 40.01 0 14.56 -67.1 109.11 -16.76 14.55 100.62 18.18 50.32 -18.18 93.9 -36.38 36.91 0 80.49 -32.74 30.19 -18.18 33.54 -36.36 16.76 -32.74 16.78 -21.83 30.19 -32.73 16.76 0 33.56 72.74 16.76 14.56 50.31 18.17 80.5 -18.17 63.73 18.17 33.54 18.19 30.19 50.92 100.62 -14.54 114.03 -72.74 0 -14.56 0 -18.18 16.78 -69.11 -33.54 -90.93 -33.54 -36.38 -13.42 -36.38 0 -14.54 -33.54 -109.12 -16.77 -32.73 30.19 -18.19 33.54 -18.19 130.8 -50.92 16.77 14.55 20.58 -8.93c-7.41,-22.55 -13.15,-39.35 -13.68,-39.89 -64.36,-66.58 -236.05,-455.87 -322.89,-499.54z"
khanhhoa,M11317.26 18670.08l0 18.19 16.77 32.74 0 18.18 0 54.57 16.77 18.18 -16.77 50.92 0 54.56 80.5 0 50.31 0 63.73 36.37 0 18.19 16.77 32.73 16.77 69.11 0 40.01 16.77 69.11 16.77 54.56 46.96 14.54 50.31 0 67.08 0 46.96 40.02 16.77 32.73 30.18 87.29 33.55 18.19 67.08 18.19 -16.77 -54.56 67.08 -54.56 13.42 -87.3 50.31 18.19 0 36.38 16.77 54.56 13.42 18.18 33.54 14.55 16.77 -123.67 0 -18.19 -30.19 -14.54 -50.31 -54.56 -33.54 -87.3 0 -54.55 33.54 -54.56 0 -32.74 -33.54 -36.37 0 -32.73 16.77 0 0 -21.83 16.77 -14.55 0 -72.75 16.77 -54.55 13.42 -32.74 -80.5 -141.86 -13.42 -18.18 -36.89 -32.73 0 -18.19 36.89 18.19 30.19 0 33.54 32.73 16.77 54.56 13.42 14.55 50.31 54.56 33.54 0 16.77 -18.18 13.42 0 16.76 -14.56 0 -54.55 -16.76 -18.2 -30.19 -18.18 0 -18.19 0 -14.54 0 -40.02 -50.31 -14.54 -13.42 -18.19 0 -36.38 -20.12 -54.55 20.12 -14.55 -20.12 -18.19 -13.42 0 -33.54 32.74 -16.77 -14.55 33.54 -72.74 0 -14.56 16.77 -18.18 0 -36.37 33.54 -18.19 43.6 -54.56 20.13 -50.92 16.77 -18.19 30.18 -18.18 50.31 36.37 0 36.37 -50.31 69.11 16.78 32.74 33.53 0 33.55 -14.55 13.41 0 0 54.55 16.78 32.74 16.77 0 33.54 54.56 13.41 0 0 -54.56 0 -18.18 0 -54.56 20.12 -14.55 0 -18.19 -67.07 -36.37 -16.77 0 -16.78 -32.74 0 -18.19 -13.41 -54.55 0 -36.38 0 -69.11 13.41 -18.18 -13.41 -14.55 -50.31 0 -33.55 0 -110.68 32.73 -164.35 36.38 -33.54 0 -33.54 0 -13.42 0 -33.54 -18.19 -33.54 18.19 -16.77 32.73 -46.96 72.75 0 36.37 0 14.55 16.77 18.19 -16.77 54.56 -20.12 14.55 -63.73 21.82 -63.73 18.18 -16.77 50.93 0 18.18 0 32.74 0 54.55 -33.54 36.38 -16.77 0 -80.5 -18.18 -13.42 0 -36.89 0 -63.73 36.37 -16.77 36.37 0 192.77zm781.51 178.23l0 50.92 20.12 0 0 18.19 30.19 18.18 80.49 -36.37 0 -14.54 0 -21.83 -30.18 0 -36.9 0 -30.18 -14.55 -33.54 0zm-13.42 563.77l-16.77 18.19 16.77 50.92 13.42 0 20.12 0 13.42 -14.54 0 -36.38 -13.42 0 -33.54 -18.19zm114.04 -1200.29l-16.77 32.74 30.19 54.55 67.07 54.56 33.55 14.55 0 -14.55 13.41 -21.82 -13.41 -50.92 -20.12 -18.19 -13.43 -32.74 -33.53 0 -46.96 -18.18z
tiengiang,M8432.73 21801.77l-16.76 32.74 16.76 18.18 67.09 36.38 16.76 -36.38 0 -18.18 -16.76 -18.19 -20.13 0 -13.41 -14.55 -16.78 0 -16.77 0zm-1157.15 -54.56l114.03 0 67.08 -18.18 130.81 0 46.96 18.18 16.77 14.54 80.5 0 50.31 -14.54 13.41 -18.18 130.81 -18.19 244.86 36.37 63.72 32.73 100.63 21.83 50.31 -21.83 30.19 -18.19 50.31 0 97.26 54.57 16.78 -14.55 0 -21.83 -16.78 -50.91 16.78 -36.38 16.77 -69.11 -16.77 -36.37 0 -36.37 -16.78 -14.55 -33.53 -21.82 -30.19 0 -33.54 36.37 -67.08 -14.55 -33.55 0 -46.96 14.55 -83.85 18.19 -13.42 18.18 -50.3 0 -30.19 -18.18 0 -18.19 0 -14.55 -50.32 -54.56 0 -18.19 -63.72 -36.37 -36.89 -14.55 -63.74 -109.11 -16.76 0 -127.46 -32.75 -130.81 -18.18 -80.5 120.03 -20.12 0 -93.92 0 -50.3 -14.54 -33.55 36.36 -16.77 50.92 -30.19 36.38 -50.3 54.56 -80.5 87.29 -16.77 14.55 16.77 54.56 16.76 0 13.42 18.19 16.76 0 33.56 36.37z
bentre,M8107.39 22347.36l0 18.19 46.95 87.29 16.78 0 20.12 0 13.42 -18.19 -13.42 -14.54 -67.08 -72.75 -16.77 0zm258.26 -90.93l20.13 -14.56 13.42 -36.36 0 -18.19 16.77 -18.18 50.31 18.18 13.41 0 20.13 -18.18 0 -54.57 16.76 -14.55 13.43 0 16.76 14.55 16.77 -14.55 16.78 0 0 -32.73 0 -40.01 -16.78 -50.92 -16.77 -18.19 -30.19 -36.38 -50.3 -32.72 -80.5 -54.56 -33.54 -18.19 -16.77 -14.55 -100.63 -21.83 -63.72 -32.73 -244.86 -36.37 -130.81 18.19 -13.41 18.18 -50.31 14.54 33.53 18.19 63.74 0 33.54 36.38 97.27 54.56 16.77 32.74 33.54 36.36 30.19 54.57 114.03 120.02 80.5 54.57 130.81 87.29zm-519.88 -141.86l63.73 40.02 130.81 138.21 16.77 -14.55 33.53 0 16.78 14.55 16.77 18.18 16.77 18.2 80.49 105.47 33.55 0 30.19 54.56 50.31 18.19 16.77 0 0 -72.75 33.54 0 30.19 0 33.53 -14.54 16.78 -18.2 -16.78 -36.36 -33.53 -18.19 -80.5 -69.11 -63.73 -21.82 -117.4 -69.11 -46.95 -72.75 -67.08 -47.28 -50.31 -72.74 -43.6 -105.48 -50.32 -36.38 -100.63 0 -114.03 -72.75 -30.19 -18.19 -16.77 -14.54 -46.96 -18.18 -130.81 0 -67.08 18.18 33.55 32.73 83.85 36.38 63.72 18.19 16.77 18.18 46.96 0 16.77 36.38 16.77 14.55 46.96 36.36 130.81 174.59z
condao,"M8524.81 24173.53c-54.7,-26.37 -32.85,22.24 8.01,27.85 6.04,0.84 42.92,-15.03 -2.71,-24.35 -2.1,-0.43 -1.42,-1.64 -5.3,-3.5zm-16.23 -190.15c-48.85,-18.64 -59.56,67.67 -85.27,67.67 -16.99,0 -86.13,20.48 -92.72,37.24 -37.98,96.61 27.26,101.89 1.94,127.87 -17.12,17.56 22.09,31.13 40.83,31.13 61.52,0 -9.23,-30.26 46.47,-70.38 19.45,-14.01 10.19,-24.22 50.73,-23.01 30.1,0.9 51.55,-18.99 51.55,-48.37 0,-26.65 -18.41,-20.26 -5.77,-49.76 14.83,-34.59 28.06,-58.72 -7.76,-72.39z"
condao,"M14543.63 23929c-160.97,-77.6 -96.67,65.44 23.58,81.95 17.77,2.48 126.3,-44.23 -7.98,-71.65 -6.18,-1.27 -4.18,-4.83 -15.6,-10.3zm-47.76 -559.57c-143.75,-54.85 -175.27,199.14 -250.93,199.14 -49.99,0 -253.46,60.26 -272.85,109.58 -111.77,284.31 80.22,299.84 5.71,376.3 -50.38,51.67 65,91.61 120.15,91.61 181.04,0 -27.16,-89.05 136.75,-207.12 57.24,-41.22 29.99,-71.27 149.29,-67.71 88.58,2.65 151.7,-55.88 151.7,-142.34 0,-78.43 -54.18,-59.62 -16.98,-146.43 43.64,-101.79 82.57,-172.8 -22.84,-213.03z"
soctrang,M7325.88 22256.43l-63.72 72.75 -20.14 36.37 -16.76 105.47 0 36.38 -13.42 50.92 -16.76 54.56 -50.32 32.73 -46.96 54.57 -130.8 36.36 -164.36 72.75 16.78 69.11 0 32.74 0 40 -16.78 32.74 16.78 36.38 16.76 18.18 0 14.55 30.19 18.19 50.31 0 16.77 18.18 33.55 36.38 13.42 0 83.84 18.18 67.08 0 63.74 -18.18 16.76 0 30.18 36.37 -16.76 32.74 -13.42 69.11 0 21.82 13.42 18.18 16.76 32.73 50.32 -32.73 63.73 -40 130.81 0 83.85 -47.3 110.69 -21.81 33.54 -18.2 16.77 -32.73 -16.77 -18.18 -13.42 -18.2 0 -36.36 46.96 -32.74 16.76 -40.01 -16.76 -14.55 0 -18.19 0 -36.37 -16.77 -50.92 16.77 -54.56 0 -36.38 -16.77 -32.73 -80.5 -69.1 -33.54 -54.57 -46.96 -54.55 -50.31 -69.11 -63.73 -72.75 -33.53 -54.55 -97.28 -123.67zm456.16 585.6l-16.78 36.37 16.78 32.74 63.73 18.18 16.77 0 0 -32.74 -33.54 -36.36 -33.55 -18.19 -13.41 0z
haugiang,"M6836.18 22278.25l0 32.73 -1.4 2.29 -32.14 52.28 -67.08 36.36 -13.41 0 -80.5 69.11 -33.55 72.76 0 14.54 -33.54 36.37 0 69.11 33.54 90.93 80.5 18.19 46.96 -18.19 67.08 0 0 54.56 164.36 -72.75 130.8 -36.36 46.96 -54.57 50.32 -32.73 16.76 -54.56 13.42 -50.92 0 -36.38 16.76 -105.47 20.14 -36.37 63.72 -72.75c-39.97,8.6 -127.05,5.94 -179.55,-8.54 -139.56,-38.52 -287.75,-92.37 -309.57,-39.51 -7.19,17.39 -2.94,39.83 -1.55,68.82l0.97 1.05z"
cantho,"M6836.76 22208.38c21.82,-52.86 170.01,0.99 309.57,39.51 52.5,14.48 139.58,17.14 179.55,8.54l-308.57 -298.26 -36.9 -36.37 -63.73 -69.11 -30.18 -36.37 -67.08 -54.56 -46.96 -69.11 -50.31 -14.54 -50.32 32.73 -97.27 36.37 -63.72 0 -20.13 0 -43.61 0 -83.84 69.11 46.95 54.56 181.13 174.59 80.49 109.12 130.81 87.28 32.57 35.33c-1.39,-28.99 -5.64,-51.43 1.55,-68.82z"
truongsa,M18785.27 20810.79l-41.33 70.15 41.33 63.12 157.19 35.09 41.34 0 0 -63.14 -82.72 -70.16 -82.69 -35.06 -33.12 0zm-2602.02 1718.96l-41.38 35.08 0 133.28 41.38 35.07 41.34 35.05 33.07 -35.05 0 -63.14 0 -77.17 -74.41 -63.12zm3487.92 -1597.8l-41.36 70.14 4.41 6.73 -69.29 0 -90.98 0 -74.45 -28.04 -82.72 0 0 23.72 -72.79 -61.7 -82.69 -35.08 -33.1 0 -41.36 70.15 41.36 63.11 157.17 35.1 31.41 0 0 2.89 49.64 0 0 35.07 74.46 35.07 198.48 -70.14 0 -28.05 0 -34.24 31.81 48.55 157.14 35.07 41.38 0 0 -63.13 -82.74 -70.15 -82.71 -35.07 -33.07 0zm-1834.18 1731.66l0 57.69 49.6 0 0 35.09 74.46 35.05 198.52 -70.14 0 -28.05 0 -42.1 -74.45 0 -90.96 0 -74.45 -28.04 -53.25 0 0 -22.64 -82.71 -70.14 -82.7 -35.07 -33.12 0 -41.33 70.16 41.33 63.1 157.17 35.09 11.89 0zm-115.89 -1273.28l0 53.74 49.62 0 0 35.09 74.45 35.07 198.53 -70.16 0 -28.05 0 -42.09 -74.46 0 -91 0 -74.45 -28.05 -76.03 0 0 -25.75 0 -77.17 -74.41 -63.12 -41.38 35.06 0 133.28 41.38 35.07 41.34 35.09 26.41 -28.01zm535.96 -872.42l0 98.21 49.63 0 0 35.05 74.45 35.09 198.52 -70.14 0 -28.06 0 -42.1 -74.45 0 -91 0 -74.43 -28.05 -82.72 0zm1389.64 -1026.33l-41.35 35.09 0 133.26 41.35 35.09 41.36 35.06 33.1 -35.06 0 -63.13 0 -77.17 -74.46 -63.14zm663.26 -90.01l0 98.2 49.64 0 0 35.06 74.46 35.09 198.52 -70.15 0 -28.04 0 -42.1 -74.45 0 -90.98 0 -74.45 -28.06 -82.74 0zm260.89 -432.6l-41.36 35.05 0 133.28 41.36 35.08 41.36 35.09 33.07 -35.09 0 -63.12 0 -77.15 -74.43 -63.14zm-792.38 262.63l-41.33 70.14 41.33 63.12 157.17 35.09 41.36 0 0 -63.13 -82.72 -70.17 -82.69 -35.05 -33.12 0zm-2793.35 4053.25l-41.34 70.17 41.34 63.1 157.16 35.09 41.36 0 0 -63.14 -82.71 -70.14 -82.74 -35.08 -33.07 0zm-151.34 -566.96l0 98.19 49.65 0 0 35.07 74.43 35.09 198.52 -70.16 0 -28.05 0 -42.1 -74.43 0 -91 0 -74.45 -28.04 -82.72 0zm260.89 -432.62l-41.38 35.06 0 133.29 41.38 35.06 41.36 35.09 33.08 -35.09 0 -63.1 0 -77.17 -74.44 -63.14zm297.79 -672.83l0 98.21 49.65 0 0 35.05 74.43 35.09 198.5 -70.14 0 -28.05 0 -42.1 -74.41 0 -91 0 -74.45 -28.06 -82.72 0zm-1090.16 935.46l-41.36 70.15 41.36 63.11 157.16 35.09 41.36 0 0 -63.13 -82.71 -70.15 -82.74 -35.07 -33.07 0zm-151.34 -566.98l0 98.2 49.65 0 0 35.08 74.43 35.07 198.52 -70.15 0 -28.04 0 -42.1 -74.43 0 -91 0 -74.45 -28.06 -82.72 0zm3426.69 -1432.76l-41.36 35.06 0 133.28 41.36 35.07 41.36 35.09 33.07 -35.09 0 -63.12 0 -77.15 -74.43 -63.14z
hoangsa,M15939.2 10071.67l-41.39 41.4 0 157.21 41.39 41.38 41.36 41.38 33.08 -41.38 0 -74.48 0 -91.02 -74.44 -74.49zm381.68 1337.86l-40.28 80.57 -46.72 0 -91.04 0 -74.48 -33.11 -82.75 0 0 115.84 49.66 0 0 41.39 74.49 41.36 198.59 -82.75 0 -28.63 12.53 22.57 157.23 41.37 41.38 0 0 -74.46 -82.77 -82.75 -82.76 -41.4 -33.08 0zm-683.11 931.52l-41.38 82.75 41.38 74.49 157.23 41.37 41.38 0 0 -74.46 -82.78 -82.75 -82.75 -41.4 -33.08 0zm-151.4 -668.9l0 115.86 49.66 0 0 41.38 74.47 41.37 198.59 -82.75 0 -33.11 0 -49.62 -74.45 0 -91.03 0 -74.49 -33.13 -82.75 0zm261 -510.37l-41.4 41.4 0 157.21 41.4 41.4 41.36 41.35 33.08 -41.35 0 -74.48 0 -91.04 -74.44 -74.49zm297.9 -793.74l0 115.84 49.66 0 0 41.39 74.46 41.38 198.61 -82.77 0 -33.09 0 -49.64 -74.46 0 -91.02 0 -74.48 -33.11 -82.77 0zm261 -510.37l-41.38 41.39 0 157.22 41.38 41.37 41.37 41.38 33.09 -41.38 0 -74.48 0 -91.02 -74.46 -74.48zm-1351.61 1613.97l-41.38 82.75 41.38 74.49 157.23 41.35 41.35 0 0 -74.44 -82.75 -82.77 -82.75 -41.38 -33.08 0z
bordertext,"M10189.85 3125.61l2566.47 0c52.76,0 95.91,43.16 95.91,95.91l0 360.5c0,52.75 -43.16,95.91 -95.91,95.91l-2566.47 0c-52.75,0 -95.91,-43.15 -95.91,-95.91l0 -360.5c0,-52.76 43.15,-95.91 95.91,-95.91z"
bordertext,"M10828.63 3721.07l2831.06 0c52.76,0 95.91,43.18 95.91,95.91l0 360.5c0,52.73 -43.18,95.91 -95.91,95.91l-2831.06 0c-52.73,0 -95.91,-43.15 -95.91,-95.91l0 -360.5c0,-52.76 43.15,-95.91 95.91,-95.91z"
bordertext,"M8263.84 7546.58l2659.07 0c52.76,0 95.91,43.2 95.91,95.91l0 360.5c0,52.71 -43.2,95.91 -95.91,95.91l-2659.07 0c-52.71,0 -95.91,-43.15 -95.91,-95.91l0 -360.5c0,-52.76 43.15,-95.91 95.91,-95.91z"
bordertext,"M9751.53 10581.18l2401.11 0c52.76,0 95.91,43.21 95.91,95.91l0 360.5c0,52.7 -43.21,95.91 -95.91,95.91l-2401.11 0c-52.7,0 -95.91,-43.15 -95.91,-95.91l0 -360.5c0,-52.76 43.15,-95.91 95.91,-95.91z"
bordertext,"M11085.89 12101.26l1352.69 0c52.76,0 95.91,43.22 95.91,95.91l0 360.5c0,52.69 -43.22,95.91 -95.91,95.91l-1352.69 0c-52.69,0 -95.91,-43.15 -95.91,-95.91l0 -360.5c0,-52.76 43.15,-95.91 95.91,-95.91z"
bordertext,"M11456.64 12679.87l2252.28 0c52.76,0 95.91,43.23 95.91,95.91l0 360.5c0,52.68 -43.23,95.91 -95.91,95.91l-2252.28 0c-52.68,0 -95.91,-43.15 -95.91,-95.91l0 -360.5c0,-52.76 43.15,-95.91 95.91,-95.91z"
bordertext,"M8506.45 8451l1524.66 0c52.76,0 95.91,43.21 95.91,95.91l0 360.5c0,52.7 -43.21,95.91 -95.91,95.91l-1524.66 0c-52.7,0 -95.91,-43.15 -95.91,-95.91l0 -360.5c0,-52.76 43.15,-95.91 95.91,-95.91z"
bordertext,"M12366.04 13735.78l2010.85 0c52.76,0 95.91,43.25 95.91,95.91l0 360.5c0,52.66 -43.25,95.91 -95.91,95.91l-2010.85 0c-52.66,0 -95.91,-43.15 -95.91,-95.91l0 -360.5c0,-52.76 43.15,-95.91 95.91,-95.91z"
bordertext,"M12981 16120.36l2497.03 0c52.76,0 95.91,43.27 95.91,95.91l0 360.5c0,52.64 -43.27,95.91 -95.91,95.91l-2497.03 0c-52.64,0 -95.91,-43.15 -95.91,-95.91l0 -360.5c0,-52.76 43.15,-95.91 95.91,-95.91z"
bordertext,"M13109.98 16927.35l2123.3 0c52.76,0 95.91,43.27 95.91,95.91l0 360.5c0,52.64 -43.27,95.91 -95.91,95.91l-2123.3 0c-52.64,0 -95.91,-43.15 -95.91,-95.91l0 -360.5c0,-52.76 43.15,-95.91 95.91,-95.91z"
bordertext,"M13221.86 17905.44l2635.94 0c52.76,0 95.91,43.28 95.91,95.91l0 360.5c0,52.63 -43.28,95.91 -95.91,95.91l-2635.94 0c-52.63,0 -95.91,-43.15 -95.91,-95.91l0 -360.5c0,-52.76 43.15,-95.91 95.91,-95.91z"
bordertext,"M12842.88 18787.68l1908.34 0c52.76,0 95.91,43.29 95.91,95.91l0 360.5c0,52.62 -43.29,95.91 -95.91,95.91l-1908.34 0c-52.62,0 -95.91,-43.15 -95.91,-95.91l0 -360.5c0,-52.76 43.15,-95.91 95.91,-95.91z"
bordertext,"M12753.73 19676.84l2209.31 0c52.76,0 95.91,43.3 95.91,95.91l0 360.5c0,52.61 -43.3,95.91 -95.91,95.91l-2209.31 0c-52.61,0 -95.91,-43.15 -95.91,-95.91l0 -360.5c0,-52.76 43.15,-95.91 95.91,-95.91z"
bordertext,"M12004.96 20368.52l3399.94 0c52.76,0 95.91,43.31 95.91,95.91l0 360.5c0,52.6 -43.31,95.91 -95.91,95.91l-3399.94 0c-52.6,0 -95.91,-43.15 -95.91,-95.91l0 -360.5c0,-52.76 43.15,-95.91 95.91,-95.91z"
bordertext,"M11657.63 22944.88l2209.31 0c52.76,0 95.91,43.3 95.91,95.91l0 360.5c0,52.61 -43.3,95.91 -95.91,95.91l-2209.31 0c-52.61,0 -95.91,-43.15 -95.91,-95.91l0 -360.5c0,-52.76 43.15,-95.91 95.91,-95.91z"
bordertext,"M8722.56 22207.34l2209.31 0c52.76,0 95.91,43.3 95.91,95.91l0 360.5c0,52.61 -43.3,95.91 -95.91,95.91l-2209.31 0c-52.61,0 -95.91,-43.15 -95.91,-95.91l0 -360.5c0,-52.76 43.15,-95.91 95.91,-95.91z"
